top_comment_id,top_comment_health,top_comment_frame,article_topic,mean_thread_health
26658410.0,1,Legality,russia,1.0
26660647.0,1,Legality,russia,0.6666666666666666
26658381.0,0,Legality,russia,0.6666666666666666
26658220.0,1,Legality,russia,1.0
26658310.0,1,Fairness,russia,1.0
26658283.0,1,Other,russia,0.6666666666666666
26659204.0,1,Legality,russia,1.0
26658266.0,1,Morality,russia,0.6666666666666666
26658250.0,1,Legality,russia,1.0
26660469.0,1,Legality,russia,1.0
26658184.0,1,Political,russia,0.6666666666666666
26659525.0,1,Legality,russia,1.0
26658234.0,1,Other,russia,0.6666666666666666
26658222.0,1,Other,russia,1.0
26668803.0,1,Legality,russia,1.0
26658493.0,1,Legality,russia,1.0
26668116.0,1,Legality,russia,1.0
26658176.0,0,Morality,russia,1.0
26658198.0,0,Other,russia,0.6666666666666666
26658356.0,1,Economic,russia,1.0
26658325.0,1,Legality,russia,1.0
26658291.0,1,Other,russia,1.0
26658227.0,1,Other,russia,1.0
26667638.0,1,Other,russia,0.6666666666666666
26660019.0,1,Political,russia,0.3333333333333333
26658518.0,1,Political,russia,0.5
26658463.0,0,Political,russia,1.0
26664315.0,1,Legality,russia,1.0
26658268.0,1,Other,russia,1.0
26658254.0,1,Legality,russia,0.6666666666666666
26658403.0,0,Political,russia,0.6666666666666666
26658389.0,1,Legality,russia,1.0
26658336.0,1,Legality,russia,0.6666666666666666
26658390.0,1,Legality,russia,1.0
26658233.0,0,Legality,russia,0.0
26658761.0,1,Legality,russia,1.0
26658379.0,1,Legality,russia,0.5
26664533.0,1,Legality,russia,1.0
26660573.0,1,Political,russia,1.0
26658210.0,0,Other,russia,1.0
26658514.0,1,Political,russia,1.0
26660611.0,1,Legality,russia,0.5
26659936.0,1,Legality,russia,0.0
26659966.0,0,Political,russia,0.5
26658375.0,1,Security,russia,0.6666666666666666
26658344.0,1,Other,russia,1.0
26658737.0,1,Cultural,russia,0.5
26673592.0,1,Legality,russia,1.0
26659170.0,1,Legality,russia,0.6666666666666666
26658373.0,1,Legality,russia,1.0
26659961.0,1,Other,russia,1.0
26664108.0,1,Legality,russia,1.0
26659408.0,1,Legality,russia,0.5
26665281.0,1,Legality,russia,1.0
26671961.0,1,Political,russia,1.0
26661333.0,0,Other,russia,0.5
26663090.0,1,Legality,russia,1.0
26658396.0,0,Legality,russia,1.0
26663229.0,1,Legality,russia,1.0
26663708.0,1,Legality,russia,1.0
26663829.0,1,Legality,russia,1.0
26658312.0,1,Legality,russia,1.0
26658216.0,1,Other,russia,0.0
26663939.0,1,Political,russia,0.0
26659171.0,1,Legality,russia,1.0
26663803.0,1,Political,russia,1.0
26664827.0,1,Legality,russia,0.5
26659425.0,1,Other,russia,1.0
26666573.0,1,Political,russia,1.0
26663451.0,1,Legality,russia,1.0
26659113.0,1,Other,russia,1.0
26658824.0,1,Political,russia,1.0
26667344.0,1,Legality,russia,0.0
26679459.0,1,Legality,russia,1.0
26658292.0,1,Political,russia,1.0
26659587.0,1,Political,russia,0.0
26665464.0,1,Political,russia,1.0
26658931.0,1,Legality,russia,1.0
26664917.0,1,Legality,russia,1.0
26663996.0,1,Other,russia,1.0
26664035.0,1,Other,russia,1.0
26659620.0,1,Cultural,russia,0.5
26663326.0,1,Legality,russia,1.0
26664552.0,0,Political,russia,0.5
26664758.0,1,Political,russia,0.6666666666666666
26663947.0,1,Other,russia,1.0
26659879.0,1,Legality,russia,0.3333333333333333
26659355.0,1,Legality,russia,0.6666666666666666
26664194.0,1,Legality,russia,1.0
26663858.0,1,Political,russia,1.0
26666938.0,1,Legality,russia,1.0
26664217.0,1,Other,russia,1.0
26667664.0,1,Legality,russia,1.0
26666457.0,1,Other,russia,0.0
26664616.0,1,Legality,russia,0.0
26665284.0,1,Political,russia,1.0
26661416.0,1,Legality,russia,0.6666666666666666
26666549.0,1,Political,russia,0.6666666666666666
26666320.0,1,Legality,russia,0.5
26660540.0,1,Other,russia,1.0
26664780.0,0,Other,russia,0.5
26665141.0,0,Political,russia,1.0
26659736.0,1,Other,russia,1.0
26664060.0,0,Other,russia,1.0
26659136.0,1,Other,russia,0.0
26659990.0,1,Other,russia,1.0
26668228.0,0,Political,russia,1.0
26667506.0,1,Morality,russia,1.0
26659633.0,1,Other,russia,1.0
26664619.0,0,Legality,russia,1.0
26664305.0,1,Legality,russia,0.6666666666666666
26659155.0,1,Legality,russia,1.0
26665182.0,1,Political,russia,1.0
26666458.0,1,Political,russia,0.0
26661095.0,1,Legality,russia,1.0
26659221.0,1,Political,russia,1.0
26663776.0,1,Legality,russia,0.0
26665715.0,1,Political,russia,1.0
26663378.0,1,Legality,russia,1.0
26665511.0,1,Legality,russia,1.0
26663304.0,1,Legality,russia,1.0
26664295.0,0,Political,russia,0.0
26661715.0,1,Legality,russia,1.0
26661893.0,1,Legality,russia,0.5
26664176.0,1,Legality,russia,1.0
26664224.0,1,Legality,russia,1.0
26659245.0,1,Legality,russia,1.0
26664347.0,1,Other,russia,1.0
26665058.0,1,Legality,russia,1.0
26662562.0,1,Other,russia,1.0
26663142.0,1,Legality,russia,1.0
26658327.0,0,Cultural,russia,0.0
26666842.0,1,Opinion,russia,1.0
26658253.0,1,Political,russia,1.0
26669906.0,1,Legality,russia,1.0
26665818.0,1,Legality,russia,1.0
26658754.0,1,Political,russia,1.0
26664844.0,0,Other,russia,1.0
26661501.0,1,Political,russia,1.0
26666941.0,1,Political,russia,0.0
26659182.0,1,Legality,russia,1.0
26668103.0,1,Legality,russia,1.0
26668480.0,1,Legality,russia,0.6666666666666666
26664990.0,1,Legality,russia,1.0
26658903.0,1,Political,russia,1.0
26669340.0,1,Legality,russia,1.0
26666555.0,1,Other,russia,1.0
26679168.0,1,Political,russia,1.0
26663029.0,1,Economic,russia,1.0
26658317.0,1,Political,russia,1.0
26664077.0,1,Legality,russia,1.0
26666068.0,1,Legality,russia,1.0
26659338.0,1,Other,russia,1.0
26659534.0,1,Legality,russia,0.0
26666956.0,1,Legality,russia,1.0
26664494.0,1,Other,russia,0.5
26658186.0,1,Other,russia,0.6666666666666666
26679842.0,1,Legality,russia,1.0
26679401.0,1,Political,russia,1.0
26671496.0,1,Legality,russia,0.6666666666666666
26664399.0,1,Legality,russia,1.0
26663540.0,1,Legality,russia,1.0
26663597.0,1,Legality,russia,1.0
26663790.0,1,Legality,russia,1.0
26673573.0,1,Legality,russia,1.0
26663205.0,1,Political,russia,0.0
26661149.0,1,Legality,russia,0.0
26672865.0,1,Legality,russia,0.6666666666666666
26663971.0,1,Legality,russia,0.0
26664291.0,1,Economic,russia,1.0
26667150.0,1,Legality,russia,1.0
26677527.0,1,Other,russia,1.0
26671411.0,1,Other,russia,1.0
26660295.0,1,Legality,russia,0.6666666666666666
26658416.0,0,Other,russia,1.0
26665689.0,1,Other,russia,1.0
26659047.0,1,Morality,russia,1.0
26664689.0,1,Other,russia,1.0
26658316.0,1,Legality,russia,1.0
26660761.0,1,Political,russia,1.0
26665009.0,1,Political,russia,1.0
26660163.0,1,Political,russia,1.0
