article_id,comment_id,topic,article_frame,comment_frame,healthy,never_in_article,diff_from_primary
10012655.0,06893ebd38d143c1857ca10e43b4358d,immigration,1,1,1,False,False
10012655.0,08e83eecd4984813b996476fd124146f,immigration,1,1,1,False,False
10012655.0,15c61d2d4ac542228caaf28967fb1a3d,immigration,1,1,1,False,False
10012655.0,24931fa194f248fdad4a3957fd975b76,immigration,1,15,1,False,True
10012655.0,3296cdce601a4c8e81c671b581282281,immigration,1,15,1,False,True
10012655.0,33750cc126314c84b4babae99e97b347,immigration,1,4,1,True,True
10012655.0,4923af97917843dcafbf374d56e26e1d,immigration,1,1,1,False,False
10012655.0,57364de3165d41b383ed3458a58e7f77,immigration,1,1,1,False,False
10012655.0,5bd2bef942d14e77bd5bc8586ecbef77,immigration,1,1,1,False,False
10012655.0,7444480408c24db69f2b6427a65d76d1,immigration,1,1,1,False,False
10012655.0,820ca7b7a34e44fa94ff0b1e27f97fe8,immigration,1,15,1,False,True
10012655.0,82373e13cfa440b7ac9b7dd6788c5a7f,immigration,1,1,1,False,False
10012655.0,8817325c040b4974b360d073e2f1abb2,immigration,1,15,1,False,True
10012655.0,88861ede36de4818b5809ecf9fb83bac,immigration,1,6,1,True,True
10012655.0,9b90df46c63b4893b635386ec3cad5dd,immigration,1,6,1,True,True
10012655.0,ac49765f024640ae93e0913cdfbb4d48,immigration,1,1,1,False,False
10012655.0,af38e9eb1a684c769335a9a2d3ffaeae,immigration,1,15,1,False,True
10012655.0,b226fde6ba6947a699edc5620393aefc,immigration,1,1,1,False,False
10012655.0,c5b63fd3000e4306960411384e2999b2,immigration,1,1,1,False,False
10099582.0,04cd138929ae4745bea2f7ff343b1aaa,climate change,6,6,0,False,False
10099582.0,0aa0e76d0f1c4acabaad0079b0efe333,climate change,6,15,1,False,True
10099582.0,0e23f09e94634c599a639c93f3932244,climate change,6,5,1,True,True
10099582.0,11cb95b99ed943bf9592c987d7dd1603,climate change,6,15,0,False,True
10099582.0,1817ae8ece33450892e911be84f45307,climate change,6,12,1,False,True
10099582.0,18ed9b748f45447cbca887617935ea4b,climate change,6,6,1,False,False
10099582.0,2da7ab12e23649e8a22bf06ec1e362ef,climate change,6,6,1,False,False
10099582.0,3218aff628f441e0a610439c61f2d1a5,climate change,6,3,1,False,True
10099582.0,336be511da0b44b1932603194daaf098,climate change,6,6,1,False,False
10099582.0,3b0836a4117847808700de1128f07fc1,climate change,6,6,1,False,False
10099582.0,40b9eed49bed4791bda7b9c57119537c,climate change,6,15,1,False,True
10099582.0,44075b349bb642ef8fa1311683d7f4a0,climate change,6,1,1,False,True
10099582.0,451edc6e18594eb39a63d3fcc92a66dd,climate change,6,15,1,False,True
10099582.0,4a8549f5238a4c1995e720e84df4096b,climate change,6,11,0,False,True
10099582.0,5257bbe4283047a8867e80cc908096c9,climate change,6,15,1,False,True
10099582.0,538015a1947846f6a2f2f41aeb978df7,climate change,6,1,1,False,True
10099582.0,53edfad1682d4fa88109e4100f750557,climate change,6,15,1,False,True
10099582.0,55d9e54a7b2d4de38026129be19909a0,climate change,6,15,0,False,True
10099582.0,6033f894e7e746118e68c27ac0a7c71c,climate change,6,5,1,True,True
10099582.0,6b0721314c104a6aa87585d5ff9f7988,climate change,6,6,1,False,False
10099582.0,6b1e032a105a4732a24eca17de1ca41d,climate change,6,6,0,False,False
10099582.0,6dfb163235394c8aacbdf3bf3620a3d1,climate change,6,15,1,False,True
10099582.0,6fada3b7ebe84558b34533bb3494fa87,climate change,6,15,0,False,True
10099582.0,708437f355f64100be81ffbbc06f19ab,climate change,6,6,1,False,False
10099582.0,7c28595d7d244166ad8bc6f0e9b4e759,climate change,6,6,1,False,False
